주차,단계,요리명,주요 기술,난이도,예상시간
1,기초 다지기,김치찌개,끓이기,1,30분
2,기초 다지기,된장찌개,볶기,1,30분
3,기초 다지기,미역국,우리기,1,20분
4,기초 다지기,계란국,삶기,2,15분
5,기초 다지기,간장계란밥,비비기,2,15분
6,기초 다지기,김치볶음밥,무치기,2,20분
7,기초 다지기,참치마요밥,조리기,2,15분
8,기초 다지기,고구마맛탕,튀기기,2,40분
9,기초 다지기,감자조림,조림,3,30분
10,기초 다지기,콩나물무침,무침,3,15분
11,기초 다지기,시금치나물,데치기,3,20분
12,기초 다지기,오이무침,절이기,3,15분
13,기술 확장,불고기,재우기,4,60분
14,기술 확장,제육볶음,볶기,4,45분
15,기술 확장,닭갈비,굽기,4,40분
16,기술 확장,돼지갈비찜,찌기,4,90분
17,기술 확장,생선구이,굽기,5,30분
18,기술 확장,생선조림,조리기,5,40분
19,기술 확장,떡볶이,끓이기,5,30분
20,기술 확장,순두부찌개,삶기,5,45분
21,기술 확장,삼겹살구이,굽기,6,40분
22,기술 확장,치킨,튀기기,6,60분
23,기술 확장,잡채,볶기,6,50분
24,기술 확장,비빔나물,무침,6,40분
25,기술 확장,김밥,말기,7,60분
26,기술 확장,만두,빚기,7,90분
27,기술 확장,파전,부치기,7,45분
28,기술 확장,김치전,지지기,7,30분
29,응용 변형,나만의 김치찌개,응용,8,45분
30,응용 변형,퓨전 볶음밥,창작,8,30분
31,응용 변형,창의 비빈 요리,변형,8,40분
32,응용 변형,개량 된장국,개량,8,40분
33,응용 변형,특제 불고기 소스,소스 개발,8,50분
34,응용 변형,변형 제육볶음,레시피 변형,8,50분
35,응용 변형,새로운 나물반찬,조합,8,35분
36,응용 변형,독특한 국물요리,실험,8,45분
37,응용 변형,오리지널 덮밥,플레이팅,9,40분
38,응용 변형,창작 면요리,맛 조화,9,35분
39,응용 변형,퓨전 전류,식감 연구,9,30분
40,응용 변형,혁신 조림요리,향신료 활용,9,40분
41,응용 변형,개성 구이요리,온도 조절,9,45분
42,응용 변형,특별한 찜요리,시간 조절,9,50분
43,응용 변형,새로운 무침요리,재료 대체,9,40분
44,응용 변형,창의 볶음요리,기법 결합,9,45분
45,창작 도전,나만의 시그니처 요리 1,레시피 개발,10,60분
46,창작 도전,나만의 시그니처 요리 2,맛 창조,10,75분
47,창작 도전,나만의 시그니처 요리 3,기법 융합,10,90분
48,창작 도전,나만의 시그니처 요리 4,스타일 개발,10,90분
49,창작 도전,완전 창작 요리 1,완전 창작,10,120분
50,창작 도전,완전 창작 요리 2,독창성,10,120분
51,창작 도전,레시피 개발 프로젝트 1,체계화,10,150분
52,창작 도전,레시피 개발 프로젝트 2,완성도,10,180분
